county_fips,ai_intensity_sum,lisa_pvalue,moran_i,cluster_code,cluster_type
31097,0.0,0.385,0.05546536030685086,0,Not Significant
37187,0.0,0.001,0.06961036934581397,3,LH
46075,0.0,0.385,0.06961036934581397,0,Not Significant
37007,4.0,0.238,0.07565050392454338,0,Not Significant
38007,0.0,0.387,0.06961036934581397,0,Not Significant
31003,0.0,0.329,0.06961036934581397,0,Not Significant
29073,0.0,0.497,0.029196057805919346,0,Not Significant
21031,0.0,0.329,0.06961036934581397,0,Not Significant
56005,0.0,0.329,0.06961036934581397,0,Not Significant
13211,0.0,0.329,0.06961036934581397,0,Not Significant
05037,0.0,0.387,0.06961036934581397,0,Not Significant
05107,0.0,0.001,0.06961036934581397,3,LH
22093,0.0,0.21,-0.018795937147705503,0,Not Significant
06115,0.0,0.468,0.03424784674840618,0,Not Significant
01117,0.0,0.342,0.010672831683467646,0,Not Significant
08091,0.0,0.387,0.06961036934581397,0,Not Significant
35009,0.0,0.387,0.06961036934581397,0,Not Significant
40149,0.0,0.467,0.06961036934581397,0,Not Significant
37135,5.0,0.193,0.1776856344866499,0,Not Significant
18131,0.0,0.328,0.06961036934581397,0,Not Significant
26019,2.0,0.324,0.0011503746180219195,0,Not Significant
36029,2.0,0.418,-0.028045663646713716,0,Not Significant
24031,3.0,0.07,0.2505931845775334,0,Not Significant
51685,0.0,0.193,-0.0364771984464094,0,Not Significant
51013,0.0,0.09,-0.11427474816070655,0,Not Significant
51035,0.0,0.001,0.06961036934581397,3,LH
29183,5.0,0.071,0.49922704794167916,0,Not Significant
06069,0.0,0.167,-0.05769471200485407,0,Not Significant
24035,0.0,0.457,0.027175342228924627,0,Not Significant
20013,0.0,0.385,0.06961036934581397,0,Not Significant
13031,0.0,0.001,0.06961036934581397,3,LH
21071,0.0,0.385,0.06961036934581397,0,Not Significant
30007,0.0,0.476,0.051929108047110074,0,Not Significant
13309,0.0,0.328,0.06961036934581397,0,Not Significant
37049,0.0,0.328,0.06961036934581397,0,Not Significant
29087,0.0,0.328,0.06961036934581397,0,Not Significant
48295,0.0,0.385,0.06961036934581397,0,Not Significant
41009,0.0,0.057,-0.14256476623863276,0,Not Significant
45041,0.0,0.218,0.06961036934581397,0,Not Significant
38061,0.0,0.328,0.06961036934581397,0,Not Significant
49053,5.0,0.21,0.07668865205526253,0,Not Significant
30003,0.0,0.001,0.06961036934581397,3,LH
42047,0.0,0.327,0.06961036934581397,0,Not Significant
31165,0.0,0.327,0.06961036934581397,0,Not Significant
28031,0.0,0.327,0.06961036934581397,0,Not Significant
18013,0.0,0.384,0.05546536030685086,0,Not Significant
18019,0.0,0.499,0.029196057805919346,0,Not Significant
21021,0.0,0.327,0.06961036934581397,0,Not Significant
21065,0.0,0.384,0.06961036934581397,0,Not Significant
48087,0.0,0.001,0.06961036934581397,3,LH
48089,0.0,0.384,0.06961036934581397,0,Not Significant
17063,0.0,0.129,-0.0718397210438172,0,Not Significant
27081,0.0,0.327,0.06961036934581397,0,Not Significant
13109,0.0,0.384,0.06961036934581397,0,Not Significant
48497,0.0,0.047,-0.201502303900979,2,LL
13307,0.0,0.384,0.06961036934581397,0,Not Significant
13169,0.0,0.39,0.04940321357586665,0,Not Significant
13135,0.0,0.018,-0.3282180098750237,2,LL
55095,0.0,0.219,-0.03647719844640939,0,Not Significant
55045,0.0,0.256,-0.012902183381470879,0,Not Significant
36079,0.0,0.015,-0.411319937978932,2,LL
51700,0.0,0.395,0.008988902035972048,0,Not Significant
08011,0.0,0.384,0.06961036934581397,0,Not Significant
40065,0.0,0.327,0.06961036934581397,0,Not Significant
30089,0.0,0.465,0.029196057805919353,0,Not Significant
48173,0.0,0.341,0.010672831683467646,0,Not Significant
05047,3.0,0.157,0.14713056594170015,0,Not Significant
40093,0.0,0.424,0.019092479920945697,0,Not Significant
47125,0.0,0.001,0.06961036934581397,3,LH
53051,0.0,0.474,0.03424784674840618,0,Not Significant
38055,0.0,0.218,0.06961036934581397,0,Not Significant
41027,0.0,0.056,-0.17085478431655904,0,Not Significant
19197,0.0,0.218,0.06961036934581397,0,Not Significant
48419,0.0,0.27,0.059506791460840314,0,Not Significant
29055,2.0,0.462,-0.04750968915653748,0,Not Significant
51017,0.0,0.365,0.05782286181334471,0,Not Significant
27111,0.0,0.269,0.059506791460840314,0,Not Significant
22075,0.0,0.025,-0.378314916888018,2,LL
28115,0.0,0.383,0.06961036934581397,0,Not Significant
22067,0.0,0.257,-0.021321831618948916,0,Not Significant
21029,0.0,0.3,-0.0011146758490016046,0,Not Significant
01047,0.0,0.382,0.0578228618133447,0,Not Significant
48093,1.0,0.444,-0.0006616657555968972,0,Not Significant
30053,0.0,0.464,0.06961036934581397,0,Not Significant
27021,0.0,0.405,0.03424784674840619,0,Not Significant
08007,0.0,0.001,0.06961036934581397,3,LH
28163,0.0,0.217,0.06961036934581397,0,Not Significant
55087,0.0,0.385,0.01303033318996151,0,Not Significant
29107,0.0,0.037,-0.2368648264983868,2,LL
37195,0.0,0.382,0.04603535428087545,0,Not Significant
39117,0.0,0.383,0.06961036934581397,0,Not Significant
30039,0.0,0.3,-0.0011146758490016046,0,Not Significant
38031,0.0,0.464,0.06961036934581397,0,Not Significant
05033,0.0,0.173,-0.048264705978878664,0,Not Significant
48053,1.0,0.454,-0.00046751857270916757,0,Not Significant
29186,0.0,0.1,-0.10012973912174344,0,Not Significant
48179,0.0,0.001,0.06961036934581397,3,LH
17109,0.0,0.349,-0.00111467584900161,0,Not Significant
19137,0.0,0.001,0.06961036934581397,3,LH
05067,0.0,0.001,0.06961036934581397,3,LH
48229,0.0,0.457,0.027175342228924627,0,Not Significant
22079,2.0,0.001,-0.07183972104381717,4,HL
31111,0.0,0.218,0.06076973869646203,0,Not Significant
48067,0.0,0.048,-0.19914480239448523,2,LL
47079,0.0,0.381,0.0578228618133447,0,Not Significant
51840,4.0,0.001,-0.21328981143344833,4,HL
37061,0.0,0.329,0.06961036934581397,0,Not Significant
37087,0.0,0.267,0.05192910804711008,0,Not Significant
27037,4.0,0.086,0.3439522253283928,0,Not Significant
41025,0.0,0.206,-0.03142540950392258,0,Not Significant
55001,0.0,0.328,0.06961036934581397,0,Not Significant
29045,0.0,0.328,0.06961036934581397,0,Not Significant
21015,0.0,0.301,-0.0011146758490016174,0,Not Significant
21229,0.0,0.384,0.06961036934581397,0,Not Significant
22009,0.0,0.358,0.04308847739775813,0,Not Significant
28137,0.0,0.384,0.06961036934581397,0,Not Significant
29227,0.0,0.384,0.06961036934581397,0,Not Significant
31163,0.0,0.384,0.06961036934581397,0,Not Significant
46021,0.0,0.384,0.06961036934581397,0,Not Significant
46063,0.0,0.328,0.06961036934581397,0,Not Significant
26057,0.0,0.286,-0.011218253733975258,0,Not Significant
19175,0.0,0.001,0.06961036934581397,3,LH
17127,0.0,0.384,0.06961036934581397,0,Not Significant
31113,0.0,0.384,0.06961036934581397,0,Not Significant
31121,0.0,0.328,0.06961036934581397,0,Not Significant
31161,0.0,0.001,0.06961036934581397,3,LH
21039,0.0,0.384,0.06961036934581397,0,Not Significant
56025,2.0,0.419,-0.028045663646713716,0,Not Significant
13321,0.0,0.448,0.039299635690893,0,Not Significant
18109,0.0,0.448,0.039299635690893,0,Not Significant
48139,2.0,0.019,0.34524653988097764,1,HH
13229,0.0,0.384,0.06961036934581397,0,Not Significant
18053,0.0,0.225,0.05389369263585496,0,Not Significant
12035,2.0,0.268,0.025480406505301617,0,Not Significant
28077,0.0,0.331,0.06961036934581397,0,Not Significant
22127,0.0,0.331,0.06961036934581397,0,Not Significant
17073,5.0,0.125,0.34120455842318187,0,Not Significant
41041,0.0,0.12,-0.08952098234252108,0,Not Significant
23031,0.0,0.241,-0.015259684887964725,0,Not Significant
46029,0.0,0.386,0.06961036934581397,0,Not Significant
13231,0.0,0.153,-0.05415845974511329,0,Not Significant
13259,0.0,0.274,0.059506791460840314,0,Not Significant
34025,19.0,0.002,15.770990284399128,1,HH
05021,0.0,0.445,0.041320351267887745,0,Not Significant
05045,0.0,0.348,0.008988902035972036,0,Not Significant
40041,0.0,0.362,0.04940321357586666,0,Not Significant
19107,0.0,0.332,0.06961036934581397,0,Not Significant
17061,0.0,0.332,0.06961036934581397,0,Not Significant
27075,0.0,0.115,-0.1001297391217434,0,Not Significant
13285,0.0,0.332,0.06961036934581397,0,Not Significant
06023,6.0,0.001,-0.3547399018230796,4,HL
47043,0.0,0.333,0.06961036934581397,0,Not Significant
27003,0.0,0.035,-0.2368648264983869,2,LL
46009,0.0,0.471,0.06961036934581397,0,Not Significant
47059,0.0,0.258,-0.012902183381470873,0,Not Significant
51183,0.0,0.389,0.06961036934581397,0,Not Significant
18141,0.0,0.132,-0.0718397210438172,0,Not Significant
38067,0.0,0.471,0.06961036934581397,0,Not Significant
46007,0.0,0.389,0.06961036934581397,0,Not Significant
22115,0.0,0.464,0.04603535428087544,0,Not Significant
23019,10.0,0.021,2.709588322688024,1,HH
24041,0.0,0.453,0.027175342228924627,0,Not Significant
13257,0.0,0.472,0.06961036934581397,0,Not Significant
06065,7.0,0.004,5.453515143109375,1,HH
05005,1.0,0.001,-0.0011146758490015996,4,HL
